Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Miracema;M;entre 41 a 50 anos;2023;11;21/11/2023;11/12/2023;07/12/2023;27/11/2023;2024-01-01;11/12/2023;10;10;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2023;11;21/11/2023;13/12/2023;04/12/2023;22/11/2023;2024-01-03;13/12/2023;12;10;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Serviços de entrega / delivery;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Ipaussu;M;entre 21 a 30 anos;2023;11;22/11/2023;12/12/2023;04/12/2023;22/11/2023;2024-01-02;14/12/2023;12;8;Fast Shop;Varejo;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;M;entre 21 a 30 anos;2023;11;22/11/2023;15/12/2023;07/12/2023;24/11/2023;2024-01-05;15/12/2023;13;10;Carrefour.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;São Gonçalo;M;entre 41 a 50 anos;2023;11;22/11/2023;13/12/2023;04/12/2023;22/11/2023;2024-01-03;14/12/2023;12;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 21 a 30 anos;2023;11;22/11/2023;13/12/2023;05/12/2023;23/11/2023;2024-01-03;14/12/2023;12;9;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Sumaré;F;entre 41 a 50 anos;2023;11;22/11/2023;12/12/2023;12/12/2023;27/11/2023;2024-01-02;17/12/2023;15;5;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;F;mais de 70 anos;2023;11;22/11/2023;12/12/2023;08/12/2023;27/11/2023;2024-01-02;13/12/2023;11;9;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 41 a 50 anos;2023;11;22/11/2023;11/12/2023;07/12/2023;28/11/2023;2024-01-01;11/12/2023;9;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Campina Grande;M;entre 41 a 50 anos;2023;11;22/11/2023;14/12/2023;12/12/2023;27/11/2023;2024-01-04;17/12/2023;15;7;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Contrato / Oferta;Venda casada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
